EQE Fig2,,,,
Bin #,Low bin edge, High bin edge,XSec [mubarn/GeV],XSec error [mubarn/GeV]
,,,,
1,0.44,0.48,0.007,0
2,0.48,0.52,0.042,0.003
3,0.52,0.56,0.084,0.005
4,0.56,0.6,0.13,0.008
5,0.6,0.64,0.171,0.011
6,0.64,0.68,0.208,0.013
7,0.68,0.72,0.241,0.016
8,0.72,0.76,0.271,0.018
9,0.76,0.8,0.3,0.019
10,0.8,0.84,0.324,0.021
11,0.84,0.88,0.336,0.021
12,0.88,0.92,0.341,0.022
13,0.92,0.96,0.34,0.022
14,0.96,1,0.352,0.023
15,1,1.04,0.391,0.025
16,1.04,1.08,0.471,0.03
17,1.08,1.1,0.546,0.035
18,1.1,1.12,0.613,0.039
19,1.12,1.14,0.673,0.043
20,1.14,1.16,0.723,0.046
21,1.16,1.18,0.761,0.048
22,1.18,1.2,0.748,0.047
23,1.2,1.22,0.708,0.045
24,1.22,1.24,0.641,0.041
25,1.24,1.26,0.568,0.036
26,1.26,1.28,0.47,0.03
27,1.28,1.3,0.364,0.023
28,1.3,1.32,0.307,0.02
29,1.32,1.34,0.267,0.021
30,1.34,1.36,0.238,0.026
31,1.36,1.38,0.211,0.028
32,1.38,1.4,0.195,0.034
